date,hitVal,otherInfo
4/8,True,n/a
4/10,False,n/a
4/11,True,n/a
4/12,True,n/a
4/14,True,n/a
4/15,False,n/a
4/16,True,n/a
4/17,True,n/a
4/18,True,n/a
4/20,True,n/a
4/21,False,n/a
4/22,True,n/a
4/23,False,n/a
4/24,True,n/a
4/25,True,n/a
4/26,False,n/a
4/27,True,n/a
4/28,False,n/a
5/1,False,n/a
5/4,True,n/a
5/7,True,n/a
5/8,True,n/a
5/11,True,n/a
5/12,True,n/a
5/15,True,n/a
5/16,True,n/a
5/17,False,n/a
5/18,True,n/a
5/19,True,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/25,False,n/a
5/27,False,n/a
5/28,True,n/a
5/29,True,n/a
5/31,True,n/a
6/1,True,n/a
6/2,False,n/a
6/3,True,n/a
6/4,True,n/a
6/5,True,n/a
6/6,True,n/a
6/8,True,n/a
6/9,True,n/a
6/10,False,n/a
6/12,False,n/a
6/13,True,n/a
6/15,False,n/a
6/16,True,n/a
6/17,True,n/a
6/18,False,n/a
6/19,True,n/a
6/20,True,n/a
6/21,True,n/a
6/22,True,n/a
6/25,False,n/a
6/26,False,n/a
6/29,False,n/a
6/30,True,n/a
7/1,True,n/a
7/2,False,n/a
7/4,True,n/a
7/6,True,n/a
7/9,True,n/a
7/10,False,n/a
7/11,True,n/a
7/16,True,n/a
7/18,True,n/a
7/19,True,n/a
7/21,True,n/a
7/22,False,n/a
7/23,True,n/a
7/24,False,n/a
7/27,False,n/a
7/31,False,n/a
8/1,False,n/a
8/3,False,n/a
8/4,True,n/a
8/6,True,n/a
8/7,True,n/a
8/8,False,n/a
8/10,False,n/a
8/11,False,n/a
9/5,True,n/a
9/8,False,n/a
